categories;phrase;translation
Fraze Priroda Prostor;uz more;wzdłuż morza
Biljke Hrana;kruška;gruszka
Glagoli Hobi Odmor;ploviti;pływać (statkiem)
Glagoli Odmor;plivati;pływać (w wodzie)
Imenice Mjesta;dvorište;podwórko
Imenice Raspoloženje;spas;ratunek
Glagoli Hrana Tijelo Životinje;ujesti;ugryźć
Fraze Stvari;novac / lova;pieniądz
Imenice Stvari;metak;nabój
Imenice;išta;cokolwiek
Imenice;lopov;złodziej
Konektori Čestice;mada;chociaż, choć
Glagoli Raspoloženje;plakati;płakać (nieregularny: ja plačem, ti plačeš, on/ona/ono plače, mi plačemo, vi plačete, oni/one/ona plaču)
Fraze Mjesta Prostor;u kvartu;na osiedlu
Glagoli;razgovarati;rozmawiać
Fraze Glagoli;govoriti engleski / tiho / glasno / gluposti;mówić po angielsku / cicho / głośno / głupoty
Imenice Stvari;stroj;urządzenie
Imenice Odjeće;jaketa;płaszcz
Glagoli;ispasti;okazać się
Osobine;biti u bedu;być w nieszczęściu / biedzie
Vrijeme;tjedan dana / jedan tjedan;jeden tydzień
Prostor;iz centra;z centrum
Glagoli Kuća;obrisati;wytrzeć
Imenice Stvari;ograda;płot
Stvari;kasica prasica;świnka skarbonka
Imenice Svakidašnji;ljestve;drabina
Brojevi;dvijetisućite;2000
Vrijeme;1995;tisuću devetsto devedeset pete
Brojevi Fraze;tisuću devetsto devedeset druge godine;1992
Prilozi;prvobitno;pierwotnie
Imenice Stvari;prikolica;przyczepa
Glagoli Svakidašnji;smjestiti;umieścić
Imenice Kuća Prostor Stvari;smještaj;zakwaterowanie
Vrijeme;lani;zeszłego roku
Fraze Vrijeme;preko godine;w ciągu roku
Prilozi;općenito;ogólnie
Prilozi;uglavnom;głównie
Imenice Tijelo;zdravlje;zdrowie
Fraze Prostor Stvari;s bankomata;z bankomatu
Osobine Pridjevi;ustrajan;zdeterminowany
Osobine;strpljiv;cierpliwy
Gramatyka;sufiks stopniowania przymiotników;-iji
Imenice Obitelj Odmor;slavlje;świętowanie
Imenice Raspoloženje;raspoloženje;nastrój / humor
Glagoli Trgovina;precjenjivati;przeceniać
Osobine Posao Pridjevi;mukotrpan;mozolny, męczący
Glagoli;ispuniti;spełnić
Pridjevi;ispunjavajuće;spełniające
Pridjevi Raspoloženje;samopouzdanjiji;pewniejszy siebie
Pridjevi;pametniji;mądrzejszy
Fraze Posao;dobiti unapređenje;dostać awans
Imenice Posao;regrutacija;rekrutacja
Glagoli Posao;regrutirati;rekrutować
Imenice Priroda Stvari;paučina;pajęczyna
Glagoli;maknuti;usunąć
Fraze Kuća Pokret;izaći iz sobe;wyjść z pokoju
Gramatyka;zaimki osobowe - dativ;meni, mi<br>tebi, ti<br>njemu, mu<br>njoj, joj<br>njemu, mu<br><br>nama<br>Vama/vama<br>njima, im
Prilozi Prostor;nasuprot;naprzeciwko
Prilozi Prostor;prema;według, ku, w kierunku, wobec
Imenice Posao;alat;narzędzie
Glagoli;izvaditi;wyjąć
Prilozi Prostor;ka;ku, do, w kierunku, w stronę
Imenice Tijelo;brkovi;wąsy
Imenice Kuća;prašina;kurz
Kuća;ladica;szuflada
Imenice;pištolj;pistolet
Imenice Obitelj;nježnost;czułość
Imenice Raspoloženje;trnci;ciarki
Imenice Mjesta Tijelo;ludnica;psychiatryk
Pridjevi;osumnjičen;podejrzany
Imenice Mjesta;livada;łąka
Imenice Odjeće;šešir;kapelusz
Glagoli;izbaciti;wyrzucić
Pridjevi;visok;wysoki
Pridjevi;nizak;niski
Fraze Pridjevi Tijelo;srednje visine;średniego wzrostu
Pridjevi Tijelo;debeo;gruby
Pridjevi Tijelo;debeljkast;przy kości
Pridjevi Tijelo;punačak;pulchny
Pridjevi Tijelo;bucmast;pucułowaty
Pridjevi Tijelo;vitak;szczupły
Pridjevi Sport Tijelo;muskulozan;umięśniony
Pridjevi Tijelo;dežmekast;grubawy, nieumięśniony
Pridjevi Tijelo;koščat;kościsty
Pridjevi Tijelo;korpulentan;korpulentny
Osobine Svakidašnji Tijelo;kovrčava kosa;kręcone włosy
Hrana Pridjevi;masna;tłusta
Osobine Tijelo;obojena kosa;farbowane włosy
Pridjevi;tanka;cienka
Osobine;plava kosa;blond włosy
Pridjevi;riđa;ruda
Boje Pridjevi;kestena;kasztanowa
Fraze Tijelo;sijeda kosa;siwe włosy
Pridjevi Tijelo;ćelav;łysy
Pridjevi Tijelo;proćelav;łysiejący
Fraze Tijelo;oči boje lješnjaka;oczy orzechowe
Boje;boja jantara;bursztynowy kolor
Imenice Tijelo;trepavice;rzęsy
Tijelo;guste obrve;gęste brwi
Tijelo;rijetke obrve;rzadkie brwi
Osobine Tijelo;spojene obrve;złączone brwi
Osobine Tijelo;pune usne;pełne usta
Osobine Tijelo;uske usne;wąskie usta
Tijelo;putene usne;całuśne usta
Imenice Tijelo;usne;usta
Imenice Tijelo;obrve;brwi
Osobine Tijelo;kukast nos;haczykowaty nos
Osobine Tijelo;prćast nos;zadarty nos
Osobine Tijelo;orlovski nos;orli nos
Imenice Tijelo;pjege;piegi
Fraze Tijelo;klempave uši;odstające uszy
Imenice Tijelo;brada;broda
Imenice Tijelo;bore;zmarszczki
Osobine Tijelo;konjski rep;kucyk
Imenice Tijelo;punđa;kok
Fraze Stvari Tijelo;rajf za kosu;opaska na włosy
Imenice Tijelo;prištić;pryszcz
Osobine Pridjevi;miran;spokojny
Osobine Pridjevi Raspoloženje;dosadan;nudny
Osobine Pridjevi;lukav;przebiegły
Pridjevi Raspoloženje;opušten;wyluzowany
Osobine Pridjevi;društven;towarzyski
Osobine Pridjevi;brbljav;gadatliwy
Osobine Pridjevi;hrabar;odważny
Osobine Pridjevi;sebičan;samolubny
Osobine Pridjevi;tvrdoglav;uparty
Osobine Pridjevi;znatiželjan;ciekawski
Pridjevi Raspoloženje;bijesan;wściekły
Osobine Pridjevi;pijan;pijany
Osobine Pridjevi;vrijedan;wartościowy, cenny, przydatny
Osobine Pridjevi;kradljiv;złodziejski
Pridjevi;spor;wolny
Osobine Pridjevi;odgovoran;odpowiedzialny
Osobine Pridjevi;neodgovoran;nieodpowiedzialny
Osobine Pridjevi;strog;surowy
Osobine Pridjevi;duhovit;dowcipny
Osobine Pridjevi;ljubazan;uprzejmy, miły
Pridjevi Raspoloženje;nervozan;nerwowy
Osobine Pridjevi;lijen;leniwy
Osobine Pridjevi;arogantan;arogancki
Osobine Pridjevi;ambiciozan;ambitny
Osobine Pridjevi;zločest;zły, okrutny
Osobine Pridjevi;stidljiv;nieśmiały
Imenice Raspoloženje;sram;wstyd
Osobine Pridjevi;osvetoljubiv;mściwy
Osobine Pridjevi;neodlučan;niezdecydowany
Osobine Pridjevi;ljubomoran;zazdrosny
Osobine Pridjevi;lažljiv;kłamliwy
Osobine Pridjevi;pesimističan;pesymistyczny
Imenice Životinje;bubašvaba;karaluch
Obitelj;biti u braku;być w małżeństwie
Imenice Odjeće;pregača;fartuch
Imenice Stvari;kist;pędzel
Imenice Stvari;kvaka;klamka
Glagoli;pročekati;poczekać
Pridjevi Raspoloženje;samouvjeren;pewny siebie
Osobine Pridjevi;snažan;mocny
Pridjevi;upadljiv;rzucający się w oczy
Osobine Pridjevi;<div></div>";delikatny
Pridjevi;grub;szorstki
Imenice Stvari;nametanje;narzucanie
Glagoli Raspoloženje;smiriti se;uspokoić się
Osobine Pridjevi;maštovit;wizjonerski
Imenice Raspoloženje;samosvijest;samoświadomość
Fraze;Više nije ...;Już nie jest ...
Glagoli;poznati;znać
Pridjevi;neovisan;niezależny
Pridjevi Raspoloženje;povučen;wycofany
Glagoli Raspoloženje;isticati se;wyróżniać się
Prilozi;veoma;bardzo, wielce
Imenice Osobine Svakidašnji;prednost;zaleta
Imenice Osobine Stvari;mana;wada
Osobine Pridjevi;vedra;pogodna
Priroda;vedro nebo;bezchmurne niebo
Glagoli;privlačiti;przyciągać
Osobine Pridjevi;privlačan;przyciągający, atrakcyjny
Fraze Posao;štrajk glađu;strajk głodowy
Fraze;Najviše je zaradio u Americi.;Najwięcej zarobił w Ameryce.
Brojevi;pola pola;pół na pół
Fraze;Bolje ostani ovdje.;Lepiej zostań tutaj.
Osobine Pridjevi;lakovjeran;naiwny
Osobine Pridjevi;moderna;nowoczesna
Imenice;Zekoslav Mrkva;Królik Bugs
Higijena Imenice Stvari;sredstva za čišćenje;środki czystości
Hrana Imenice;okus;smak
Imenice Raspoloženje;ukus;gust
Brojevi Fraze;dvije tisuće sedme godine;2007
Imenice;zarez;przecinek
Imenice Mjesta;tvornica;fabryka
Konektori;zahvaljujući;dzięki (czemuś)
Imenice Posao Škola;umijeće;umiejętność, sztuka, kunszt
Glagoli;smanjuje;zmniejsza
Glagoli;snižava;zmniejsza
Brojevi;sto posto;sto procent
Glagoli;pružati;dawać, oferować
Osobine Pridjevi;pjegava;piegowata
Glagoli;osvojiti;zdobyć
Imenice Mjesta;sajam;targi
Fraze Mjesta Prostor;na sajmu;na targach
Imenice;ljepotica;piękność
Fraze Posao;pod vodstvom izumiteljice;pod przewodnictwem wynalazcy
Imenice Stvari;uzrok;przyczyna
Glagoli;uzrokovati;powodować
Imenice Posao;raskoš;bogactwo
Hobi Imenice;užitak;przyjemność
Imenice Tijelo;dlake;włosy (nie na głowie)
Odjeće Pridjevi;pripijen;przylegający, obcisły
Imenice Stvari;tržište;rynek
Glagoli Hrana Trgovina;sadržiti;zawierać
Biljke Hrana Imenice;brusnica;żurawina
Fraze;nije ..., nego ...;nie jest ..., ale ...
Prilozi;kamo;dokąd
Glagoli Higijena Svakidašnji;tuširati se;brać prysznic
Imenice Stvari;površina;powierzchnia
Imenice Odjeće;kućni ogrtač;szlafrok
Pridjevi;jedinstven;wyjątkowy, jedyny w swoim rodzaju
Glagoli;šaljem;wysyłam
Odjeće;vunene čarape;wełniane skarpety
Odjeće Pridjevi;svilen;jedwabny
Odjeće;pamučna majica;bawełniana bluzka
Glagoli;dodati;dodać
Hrana Imenice Stvari;prstohvat;szczypta
Imenice Nacije;Latvija;Łotwa
Imenice Stvari;vrst;typ, gatunek
Pridjevi;rabljen;używany
Imenice Odjeće;čizma;kozaki
Hobi Imenice Odmor;klizaljke;łyżwy
Hrana Imenice;medenjak;piernik
Imenice;snjegović;bałwan
Imenice Vrijeme;Badnjak;Wigilia
Imenice Stvari;božićni vijenac;wieniec świąteczny
Stvari;božićna kuglica;bombka
Imenice Stvari;vrh za jelku;czubek na choince
Svakidašnji;lampice;lampki choinkowe
Imenice Kuća;dimnjak;komin
Imenice Pokret Stvari;saonice;sanie
Imenice Stvari;šiba;rózga
Imenice Kuća;dvosjed;kanapa dwuosobowa
Imenice Kuća;trosjed;kanapa trzyosobowa
Imenice Posao;kvar;awaria
Fraze;Pokvarila nam se perilica rublja;Popsuła nam się pralka
Fraze;Ja ću očistiti / spremiti sobu.;Posprzątam pokój.
Imenice Stvari;putovnica;paszport
Svakidašnji;osobna iskaznica;dowdód osobisty
Glagoli Osobine Raspoloženje;sramiti se;wstydzić się (+Genitiv)
Glagoli Pokret;osloboditi se;uwolnić się
Glagoli Pokret Svakidašnji;riješiti se;pozbyć się
Glagoli Raspoloženje;čuvati se;strzec się
Fraze;Ne bojim se svih pasa;Nie boję się wszystkich psów
Fraze;Ne bojim se visine;Nie boję się wysokości
Fraze;Nemam strah od prostora;Nie mam lęku przestrzeni
Fraze;Lift se pokvario;Winda się popsuła
Imenice Škola;predavanje;wykład
Glagoli;zviždati;gwizdać
Glagoli Vrijeme;pljuštati;lać (o deszczu)
Imenice Prostor;prostor;przestrzeń
Glagoli;ovisiti;zależeć
Glagoli Posao Trgovina;rasprodati se;wyprzedać się
Hobi Imenice Posao;redatelj;reżyser
Imenice;lutak / lutka;lalka
Imenice Raspoloženje;dojam;wrażenie
Posao Svakidašnji;susret;spotkanie
Imenice Stvari;prilika;możliwość
Imenice Škola;tečaj;kurs
Imenice Nacije;Srednja Europa;Europa środkowa
Konektori Čestice;nimalo;ani trochę/wcale
Prilozi;malo;trochę
Brojevi Prilozi;premalo;za mało
Brojevi Svakidašnji;manje;mniej
Fraze Prilozi;još malo;jeszcze trochę
Brojevi Svakidašnji;nekoliko;kilka
Fraze Prilozi;mnogo;dużo
Prilozi;previše;zbyt
Hrana Imenice Stvari;žličica;łyżeczka
Hrana Imenice Stvari;žlica;łyżka
Hrana Imenice Stvari;čaša;szklanka
Hrana Imenice Kuća;staklenka;słoik
Hrana Imenice Piće;boca;butelka
Imenice Stvari;komad;kawałek
Hobi Imenice;kocka;kostka
Imenice Stvari;kutija;pudełko
Imenice Stvari;limenka;puszka
Brojevi Hrana Imenice;kriška;cząstka (tortu, jabłka, pomarańczy)
Nacije Pridjevi;slavenski;słowiański
Glagoli Vrijeme;proći;upłynąć, minąć
Imenice;favorit;faworyt
Vrijeme;za vikend;w weekend
Sport;stolni tenis;tenis stołowy
Imenice;saveznik;sojusznik, sprzymierzeniec
Imenice Osobine Priroda;lutalica;bezdomne zwierzę, nomad
Glagoli;lutati;błądzić, szwędać się
Pridjevi;zaštićen;chroniony
Imenice Priroda;brodolom;katastrofa morska
Imenice Životinje;sup;sęp
Priroda;krš;kras
Imenice Stvari;kip;rzeźba
Imenice Priroda;krajoblik;krajobraz
Pridjevi;izniman;wyjątkowy
Imenice Stvari;oblik;kształt
Glagoli;spomenuti;wspominać
Glagoli;sačuvati;zachować
Glagoli Raspoloženje;faliti;tęsknić, brakować
Imenice Tijelo;dah;oddech, tchnienie
Osobine Pridjevi;izvanredan;fantastyczny, nazdwyczajny, wyjątkowy
Imenice Tijelo;suze;łzy
Glagoli;objediniti;zjednoczyć
Pridjevi;sadržajan;treściwy, doniosły
Fraze Škola;klesarska škola;szkoła kamieniarska
Imenice Osobine;obilježje;cecha, atrybut
Pokret;povratna karta;bilet powrotny
Fraze Vrijeme;od utorka do petka;od wtorku do piątku
Imenice Sport Stvari;krplje;rakiety śnieżne
Glagoli;odabrati;wybrać
Glagoli Pokret;obići;obejść, objechać
Pridjevi;iskonski;pierwotny, rdzenny, macierzysty
Fraze Raspoloženje;Donio sam ludu odluku;Podjąłem szaloną decyzję
Fraze Priroda Stvari;rezervoar pitke vode;cysterna wody pitnej
Biljke Imenice;kadulja;szałwia
Fraze Mjesta Prostor;u Donjem gradu / u Gornjem gradu;w dolnym/górnym mieście
Fraze;Puno mjesta se renovira / obnavlja se;Wiele miejsc jest odnawianych
Fraze Prostor;blizu Katedrale;w pobliżu katedry
Fraze Kuća Mjesta;stambeni dio grada;część miszkalna miasta
Fraze Stvari;to je taj dio;to jest ta część
Imenice Stvari;svila;jedwab
Nacije Pridjevi;kineski;chiński
Fraze Stvari;ima puno predmeta koji imaju više od sto godina;jest wiele przedmiotów, które mają więcej niż 100 lat
Imenice Stvari;dokaz;dowód
Nacije;Šlezija;Śląsk
Imenice Mjesta;rudnik;kopalnia
Fraze Posao;medicina rada;medycyna pracy
Fraze Hrana Konektori;zbog toga što odrasli piju kavu;ponieważ dorośli piją kawę
Biljke Hrana Imenice;koštica;pestka
Fraze Obitelj;Ako ne budeš dobar, neki muškarac će te pokupiti / oteti;Jak nie będziesz dobry, to jakiś mężczyzna cię zabierze
Imenice Vrijeme;kalendar;kalendarz
Fraze Tijelo;bube u guzici;robaki w tyłku
Fraze Obitelj;od malih nogu /  od djetinjstva;od dzieciństwa
Glagoli Higijena Kuća;ispirati;prać, wypłukiwać
Fraze Raspoloženje;dovesti do suza;doprowadzić do płaczu
Obitelj Pridjevi;očev;ojcowski, należący do ojca
Tijelo;upala pluća;zapalenie płuc
Fraze Stvari;svašta nešto;ogrom, wszystko i nic
Imenice Kuća Prostor Svakidašnji;ugao;róg, narożnik
Imenice Piće Svakidašnji;guc;łyczek
Imenice Stvari;raspored;plan
Fraze;u navodnicima;w cudzysłowie
Fraze;bojati se kao vraga;bać się jak diabła
Fraze Tijelo;usaditi u glavu;wpoić
Stvari Svakidašnji;ispirati mozak;prać mózg
Fraze;biti dobre volje;być dobrej myśli
Glagoli Pokret;mrdnuti;poruszyć się
Glagoli Svakidašnji;usuditi se;odważyć się
Posao Pridjevi;stručni;profesjonalny
Imenice Stvari;praznovjerja;przesądy
Imenice Stvari;vjerovanja;wierzenia
Imenice Priroda;propuh;przeciąg
Konektori Prilozi Čestice;zaista;zaiste, faktycznie, doprawdy
Glagoli Raspoloženje;nasmijati;rozśmieszać
Prilozi;slično;podobnie
Konektori;dakle;więc, zatem
Imenice Stvari;smisao;sens, znaczenie
Prilozi;dublje;głębiej
Imenice Posao Svakidašnji;svađa;kłótnia, spór
Imenice Pokret Stvari;jurenje;pośpiech
Glagoli Obitelj;udati se;wychodzić za mąż
Imenice Stvari;usmjerenje;ukierunkowanie, orientacja
Prilozi;namjerno;celowo
Pridjevi;okrugli;okrągły
Imenice Kuća;kućanstvo;gospodarstwo domowe
Glagoli;primjećivati;obserwować, zauważyć
Prilozi Vrijeme;češće;częściej
Glagoli;pustiti;pozwolić, pozwalać
Imenice Prostor;prekoračiti;przekroczyć, przejść
Osobine Pridjevi Svakidašnji;bezobrazan;bezczelny
Glagoli Tijelo;narasti;urosnąć, dorastać
Glagoli Posao Škola;shvatiti;pojmować, rozumieć
Glagoli;poništiti;anulować, cofnąć
Prilozi Vrijeme;zauvijek;na zawsze
Fraze;... jel da?;... co nie?
Glagoli Pokret;vrtjeti;kręcić, wiercić
Glagoli Hrana;poslužiti;podawać
Pridjevi;mudar;mądry
Glagoli Tijelo;taknuti;dotknąć
Hrana Imenice;tek;apetyt
Imenice Vrijeme;tren;chwila
Konektori;makar;choćby, przynajmniej
Prilozi;valjda;prawdopodobnie, chyba
Imenice Stvari;tekućina;ciecz, płyn
Imenice Odjeće;marama;szal, chustka
Pridjevi Tijelo;pogrbljen;zgarbiony
Glagoli Pokret;udaljiti se;oddalić się
Pridjevi Tijelo;nabildan;napakowany
Glagoli Sport Tijelo;nabildati se;napakować się
Imenice Osobine;mekušac;słabeusz, cienias
Odjeće Pridjevi;skockan;odstrzelony, odstawiony
Prilozi Prostor;interno;wewnętrzne
Glagoli Raspoloženje;uznemiravati;niepokoić
Imenice Raspoloženje;briga;zmartwienie, troska
Obitelj;brale;bracie, brachu
Glagoli Svakidašnji;buljiti;lampić się
Tijelo;vidati rane;opatrywać rany
Fraze;brijati ljubav;mieć coś na myśli, chodzić z kimś, uprawiać seks
Imenice Priroda;žega;skwar, ukrop
Imenice Stvari;roba;towar
Glagoli;štedjeti;oszczędzać
Imenice Priroda;dina;wydma
Odjeće;gumene čizme;kalosze
Fraze Škola;razna školovanje;różne szkolenia
Fraze;Nitko ne dolazi petkom na posao;Nikt nie przychodzi w piątek do pracy
Pridjevi;prevelik;za duży
Pridjevi;premalen;za mały
Konektori;to ovisi;to zależy
Brojevi Fraze Odjeće Svakidašnji;koji je broj;jaki jest rozmiar/numer
Brojevi Imenice Stvari;veličina;wielkość
Fraze Trgovina;Imate li veći/manji broj?;Macie większy/mniejszy rozmiar?
Imenice Svakidašnji Trgovina;sniženje;obniżka
Imenice Stvari;rasprodaja;wyprzedaż
Imenice Stvari;popust;zniżka
Imenice Odjeće Svakidašnji;traperice;dżinsy
Imenice Odjeće Odmor;badić;strój kąpielowy
Imenice Tijelo;prsa;klatka piersiowa
Higijena Imenice Kuća Svakidašnji;maramice;chusteczki
Imenice Odjeće Sport;tenisice;tenisówki
Imenice Odjeće;gojzerice;traper, buty w góry
Imenice Odjeće Sport;starke;tenisówki
Imenice Odjeće;baletanke;baleriny
Glagoli Odmor Raspoloženje;slaviti;świętować
Glagoli;praviti;tworzyć, robić
Glagoli Odjeće;oblačiti;ubierać się
Glagoli Pokret;letjeti;latać, lecieć
Fraze Raspoloženje;Ne volim to.;Nie lubię tego.
Glagoli;staviti;wkładać, nakładać, zakładać, wstawiać, kłaść, nakrywać
Glagoli Odjeće;razodjenuti se;rozebrać się
Glagoli Odjeće;razodijevati se;rozbierać się
Glagoli Odjeće;svući se;rozebrać się
Glagoli Odjeće;presvući se;przebrać się
Glagoli Odjeće;skidati;zdejmować
Odjeće;majica kratkih rukava;bluzka z krótkim rękawem
Imenice Odjeće Svakidašnji;kožnjak;kurtka skórzana
Imenice Odjeće;potkošulja;podkoszulek
Imenice Odjeće;kapuljača;kaptur
Odjeće;donje rublje;bielizna
Imenice Odjeće;leptir mašna;muszka
Imenice Odjeće;naramenice;szelki
Imenice Odjeće;nakit;biżuteria szlachetna
Imenice Odjeće;naušnice;kolczyki
Imenice Odjeće;ogrlica;naszyjnik
Imenice Odjeće;krzno;futro
Imenice Odjeće Svakidašnji;dugme;guzik
Imenice Odjeće;rukav;rękaw
Odmor;kupaći kostim;kostium kąpielowy
Fraze Raspoloženje;nema presiju;nie ma presji
Fraze Posao;Kad sam počeo raditi.;Kiedy zacząłem pracować.
Fraze Vrijeme;Ima vremena.;Jest czas.
Fraze;dobili su sedam kipova;otrzymali siedem statuetek
Fraze Hobi;sporedna muška uloga;męska rola drugoplanowa
Glagoli;nadoknaditi;nadrobić
Fraze Imenice;knjige o ratu;książki o wojnie
Fraze Hobi Imenice;Gospodar prstenova;Władca Pierścieni
Glagoli;naslijediti;odziedziczyć
Imenice;Vještac;Wiedźmin
Imenice Posao;graditelj;budowniczy
Fraze;Gledam svoju policu.;Patrzę na swoją półkę.
Glagoli Hobi;glumiti;grać, występować (aktorsko)
Fraze;Moja cura je poznata po tome što poznaje sve drame.;Moja dziewczyna jest znana z tego, że zna wszystkie dramy.
Glagoli Obitelj;razvesti;rozwodzić się
Imenice Posao;vojnik;żołnierz
Glagoli;boriti;walczyć
Imenice Obitelj;sprovod;pogrzeb
Fraze Tijelo;prstenje za nos;kolczyk w nosie
Vrijeme;srednji vijek;średniowiecze
Fraze Raspoloženje;Boli ih briga / Baš ih briga;Nie obchodzi ich to
Fraze Tijelo;Imati takvu ili drugu kosu.;Mieć takie lub inne włosy.
Glagoli;pratiti;śledzić, podążać
Fraze Hobi;dodijeliti Oscara;dostać Oscara
Imenice;uloga;rola
Glagoli Svakidašnji;upoznati;poznać, dowiedzieć się
Glagoli Odjeće;oblačiti se;ubierać się, zakładać, nałożyć - (czynność) powoli/psa/kurtkę  ja oblačim, oni oblače
Glagoli Odjeće;obuti se;zakładać buty, obuwać się - skarpety/buty/dziecko  ja obujem, oni obuju
Glagoli Odjeće;izuti;ściągać, zdjąć, rozbierać
Glagoli Odjeće;skinuti se;zdejmować, rozbierać (się) - kapelusz/bluzę/Proszę się rozebrać.
Fraze;Navalite!;Śmiało!
Glagoli;posuditi;pożyczyć
Imenice Vrijeme;obljetnica;rocznica/jubileusz
Brojevi;oboje;zarówno, obydwoje, oba
Osobine Pridjevi;darežljiv;hojny
Odjeće Svakidašnji;način;sposób, fason, elegancja, maniera
Osobine Pridjevi;iscrpljen;wyczerpany, wycieńczony
Imenice Pokret;hod;chód, krok
Mjesta Prilozi Prostor;odavde;stąd
Fraze Stvari Tijelo;kopča za kosu;spinka do włosów
Glagoli;predati;przekazać
Fraze Posao;ugovor o radu;umowa o pracę
Imenice Stvari;izazov;wyzwanie, próba
Prilozi;izazovno;wyzywająco
Glagoli Tijelo;povraćati;wymiotować
Glagoli Tijelo;rigati;rzygać
Pokret Svakidašnji;prijevozna sredstva;środki transportu
Fraze;Vozim se taksijem.;Jeżdżę taksówką.
Imenice Pokret;let;lot
Prilozi Trgovina;jeftinije;taniej
Fraze;Smijem li ući? Jeste li slobodni?;Mogę wejść? Czy jest Pan wolny?
Gramatyka;zaimki osobowe - instrumental;mnom(e)<br>tobom(e)<br>njim(e)<br>njom(e)<br>njim(e)<br><br>nama<br>vama/Vama<br>njima
Gramatyka;kondicional;bih, bi, bi, bismo, biste, bi + perfekt glagol<br>ne + bih, bi, bi, bismo, biste, bi + perfekt glagol<br><br>Bi* + li + (zaimek) + ?
Imenice Obitelj;rođak;krewny, bliski
Pridjevi Prostor;obližnji;bliski, niedaleki
Pridjevi;ovaki;taki
Imenice Mjesta;obala;brzeg, wybrzeże
Imenice Svakidašnji;zadovoljstvo;zadowolenie, przyjemność, satysfakcja
Glagoli Odmor Pokret;posjećivati;zwiedzać, odwiedzać
Pridjevi;netaknut;nienaruszony, nietknięty
Prilozi Vrijeme;začas;zaraz, natychmiastowo, chwilowo
Imenice Stvari;šator;namiot
Pridjevi;logorski;obozowy
Imenice Sport;planinaranje;chodzenie po górach
Glagoli Vrijeme;provoditi;spędzać
Glagoli Pokret;otputovati;odejść, wyruszać
Imenice Stvari;poslovica;przysłowie
Osobine Pridjevi;uljudniji;grzeczniejszy
Glagoli;naznačiti;wskazać
Glagoli Svakidašnji;izbjegavati;unikać
Imenice Stvari;tlakomjer;ciśnieniomierz
Imenice Stvari;tlak;ciśnienie
Fraze Hobi;nova netflixova serija;nowy serial Netfliksa
Fraze Stvari;kreiranje / stvaranje svijeta;kreowanie / stwarzanie świata
Pridjevi;zanimljivije;ciekawsze
Prilozi;krcato;po brzegi
Fraze Vrijeme;kad su počeli prikazivati;kiedy zaczęli pokazywać
Fraze;u prvom dijelu;w pierwszej części
Imenice;kritičari;krytycy
Glagoli;ocjenjivati;oceniać
Pridjevi;najgore;najgorsze
Imenice Priroda;gorje;wyżyny
Glagoli;skinuti;pobrać
Prilozi Vrijeme;tada;wtedy
Imenice Stvari;nalivpero;pióro wieczne
Hrana Piće;termosica;termos
Imenice Pokret Stvari;padobran;spadochron
Svakidašnji Tijelo;vaditi krv;pobierać krew
Imenice Sport;golman;bramkarz
Glagoli Raspoloženje;prilagoditi se;dostosować się
Glagoli;trošiti;wydawać, zużywać
Glagoli;odvajati;oddzielać
Pridjevi;pripiti;nietrzeźwy
Glagoli Odjeće;motati;łączyć, wiązać
Pridjevi;zgodan;przystojny, stosowny, ładny
Glagoli Posao;obrađivati;przetwarzać, obrabiać
Imenice;osvajač;najeźdźca, podrywacz
Glagoli Hobi Posao Škola;istraživati;badać, eksplorować, zgłębiać
Glagoli Škola;prelistavati;przerzucać, kartkować
Glagoli;pretraživati;wyszukiwać, przeszukiwać
Imenice Priroda;brežuljak;pagórek, górka
Pridjevi;korisne;przydatne, użyteczne
Glagoli;propuštati;opuszczać, pomijać
Imenice Stvari;škljocanje;trzaskanie, trzeszczenie
Glagoli Raspoloženje;izluđivati;wkurzać, doprowadzać do szaleństwa
Pridjevi;neprestan;niezgrabny, niezdarny
Glagoli;prigovarati;mieć pretensje, krytykować, zarzucić
Hrana Pridjevi;začinjen;pikantny
Osobine Pridjevi;neljubazan;nieuprzejmy
Osobine Pridjevi;neodgojen;niekulturalny, niegrzeczny
Glagoli;napuštati;opuszczać
Glagoli;uzrujavati;dokuczać, denerwować, drażnić
Glagoli Pokret;kružiti;kręcić, krążyć
Imenice Odmor;odmor;urlop
Imenice Posao;radoholičari;pracoholicy
Pridjevi Raspoloženje;mrzovoljan;zrzędliwy
Fraze Raspoloženje;ovisnici o televizji;uzależnieni od telewizji
Imenice Mjesta Odmor;hotelski šank;bar hotelowy
Hobi Imenice;izviđači;harcerze, skauci
Fraze Vrijeme;od jutra do sutra;od rana do wieczora
Prostor;u blizini;w pobliżu
Pridjevi Prostor;blizu;blisko
Fraze Vrijeme;prije pet godina;przed pięcioma laty
Imenice Pokret Sport;utrka;wyścig
Fraze Vrijeme;zauzeti puno vremena;zająć dużo czasu
Imenice Posao;zastupnik;zastępca
Glagoli Odmor;opuštati se;relaksować się
Glagoli;događati se;dziać się
Glagoli;dogoditi se;wydarzyć się
Glagoli;derati se;drzeć się, krzyczeć
Imenice;tuča;bójka
Fraze Stvari;uključiti TV;włączyć telewizor
Imenice Stvari;daljinski upravljač;pilot
Fraze;neka provode odmor kako hoće;niech spędzają urlop jak chcą
Glagoli Posao;naređivati;rozkazywać
Fraze Obitelj;sa svojom obitelji;ze swoją rodziną
